,Tempo,N_ensaio,Unidade,runinEst,runinOg
0,1.58334166066667,0,b5,0,0
1,1.60000820955556,0,b5,0,0
2,1.61667515733333,0,b5,0,0
3,1.63334232205556,0,b5,0,0
4,1.65000891788889,0,b5,0,0
5,1.66667546622222,0,b5,0,0
6,1.68334218316667,0,b5,0,0
7,1.7000087365,0,b5,0,0
8,1.71667552372222,0,b5,0,0
9,1.73334226011111,0,b5,0,0
10,1.75000878066667,0,b5,0,0
11,1.76667562955556,0,b5,0,0
12,1.78334230205556,0,b5,0,0
13,1.80000912066667,0,b5,0,0
14,1.81667569372222,0,b5,0,0
15,1.83334287566667,0,b5,0,0
16,1.85000938788889,0,b5,0,0
17,1.86667603122222,0,b5,0,0
18,1.8833431465,0,b5,0,0
19,1.90000984927778,0,b5,0,0
20,1.91667657622222,0,b5,0,0
21,1.93334319011111,0,b5,0,0
22,1.9500103265,0,b5,0,0
23,1.96667681288889,0,b5,0,0
24,1.98334355538889,0,b5,0,0
25,2.00001023455556,0,b5,0,0
26,2.01667696733333,0,b5,0,0
27,2.03334398261111,0,b5,0,0
28,2.05001088066667,0,b5,0,0
29,2.06667779038889,0,b5,0,0
30,2.08334447538889,0,b5,0,0
31,2.10001111372222,0,b5,0,0
32,2.11667786205556,0,b5,0,0
33,2.13334452483333,0,b5,0,0
34,2.15001105316667,0,b5,0,0
35,2.16667781927778,0,b5,0,0
36,2.18334447511111,0,b5,0,0
37,2.200010979,0,b5,0,0
38,2.21667782788889,0,b5,0,0
39,2.2333446115,0,b5,0,0
40,2.25001130511111,0,b5,0,0
41,2.26667792011111,0,b5,0,0
42,2.28334510566667,0,b5,1,0
43,2.30001204538889,0,b5,0,0
44,2.31667870344444,0,b5,0,0
45,2.33334516927778,0,b5,0,0
46,2.35001183455556,0,b5,0,0
47,2.36667859205556,0,b5,0,0
48,2.38334523427778,0,b5,0,0
49,2.40001192983333,0,b5,0,0
50,2.41667852177778,0,b5,0,0
51,2.43334513427778,0,b5,0,0
52,2.45001223205556,0,b5,0,0
53,2.46667904483333,0,b5,0,0
54,2.48334573066667,0,b5,0,0
55,2.50001268316667,0,b5,0,0
56,2.516679319,0,b5,0,0
57,2.53334637538889,0,b5,0,0
58,2.55001345427778,0,b5,0,0
59,2.5666800865,0,b5,0,0
60,2.58334674205556,0,b5,0,0
61,2.60001352261111,0,b5,0,0
62,2.61668027816667,0,b5,0,0
63,2.63334733094444,0,b5,0,0
64,2.65001398372222,0,b5,1,0
65,2.66668080038889,0,b5,0,0
66,2.68334737816667,0,b5,0,0
67,2.70001427261111,0,b5,0,0
68,2.71668112538889,0,b5,0,0
69,2.7333481115,0,b5,0,0
70,2.75001464205556,0,b5,0,0
71,2.7666812365,0,b5,0,0
72,2.78334799205556,0,b5,0,0
73,2.80001462816667,0,b5,0,0
74,2.81668141427778,0,b5,0,0
75,2.83334832538889,0,b5,0,0
76,2.85001510316667,0,b5,0,0
77,2.86668195038889,0,b5,0,0
78,2.88334869483333,0,b5,0,0
79,2.90001515594444,0,b5,0,0
80,2.91668181705556,0,b5,0,0
81,2.93334897261111,0,b5,0,0
82,2.95001590038889,0,b5,0,0
83,2.96668237538889,0,b5,0,0
84,2.98334938927778,0,b5,1,0
85,3.00001642261111,0,b5,0,0
86,3.01668296705556,0,b5,0,0
87,3.03334963927778,0,b5,0,0
88,3.05001658094444,0,b5,0,0
89,3.06668367261111,0,b5,0,0
90,3.08335034761111,0,b5,0,0
91,3.10001732261111,0,b5,0,0
92,3.11668419761111,0,b5,0,0
93,3.1333507115,0,b5,0,0
94,3.15001746705556,0,b5,0,0
95,3.1666842365,0,b5,0,0
96,3.18335085316667,0,b5,0,0
97,3.20001739483333,0,b5,0,0
98,3.21668420038889,0,b5,0,0
99,3.23335090872222,0,b5,0,0
100,3.25001735316667,0,b5,1,0
101,3.26668422816667,0,b5,0,0
102,3.28335112538889,0,b5,0,0
103,3.30001811705556,0,b5,0,0
104,3.31668476705556,0,b5,0,0
105,3.33335156983333,0,b5,0,0
106,3.35001859483333,0,b5,0,0
107,3.36668527816667,0,b5,0,0
108,3.3833522615,0,b5,0,0
109,3.40001921705556,0,b5,0,0
110,3.41668573372222,0,b5,0,0
111,3.43335277261111,0,b5,0,0
112,3.45001937816667,0,b5,0,0
113,3.46668598094444,0,b5,0,0
114,3.48335270594444,0,b5,0,0
